City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
144,Juybar,IR,2020-11-03 00:27:49,36.64,52.91,65.03,65,89,2.51
145,Tasiilaq,GL,2020-11-03 00:24:42,65.61,-37.64,30.2,46,0,5.82
146,Havelock,US,2020-11-03 00:26:09,34.88,-76.9,44.01,60,1,5.82
147,Moranbah,AU,2020-11-03 00:27:50,-22.0,148.05,82.85,43,33,17.4
148,Airai,TL,2020-11-03 00:27:50,-8.93,125.41,75.09,43,61,3.94
149,Shimoda,JP,2020-11-03 00:27:01,34.67,138.95,64.4,93,75,2.24
150,Luderitz,NA,2020-11-03 00:27:27,-26.65,15.16,60.04,86,64,4.83
151,Mata,PT,2020-11-03 00:27:50,40.68,-7.46,55.0,91,100,3.91
152,Srednekolymsk,RU,2020-11-03 00:27:50,67.45,153.68,-7.65,87,0,8.39
153,Loikaw,MM,2020-11-03 00:27:51,19.67,97.21,66.04,91,59,1.12
154,Bethel,US,2020-11-03 00:26:08,41.37,-73.41,37.0,47,1,11.41
155,Georgetown,MY,2020-11-03 00:25:20,5.41,100.34,78.8,94,20,5.82
156,Bilibino,RU,2020-11-03 00:27:51,68.05,166.44,-3.28,90,93,4.52
157,Beringovskiy,RU,2020-11-03 00:26:22,63.05,179.32,27.55,91,87,6.44
158,Kamenka,RU,2020-11-03 00:25:29,51.32,42.77,39.99,91,18,8.52
159,Amazar,RU,2020-11-03 00:27:51,53.86,120.88,9.18,80,40,4.83
160,Roswell,US,2020-11-03 00:27:51,34.02,-84.36,48.2,34,1,10.29
161,Rovaniemi,FI,2020-11-03 00:27:52,66.5,25.72,46.4,93,90,18.34
162,Fortuna,US,2020-11-03 00:17:23,40.6,-124.16,48.2,93,90,14.99
163,Longyearbyen,SJ,2020-11-03 00:27:52,78.22,15.64,32.0,96,75,53.02
164,Saldanha,ZA,2020-11-03 00:24:08,-33.01,17.94,68.0,64,80,5.82
165,Thompson,CA,2020-11-03 00:19:09,55.74,-97.86,21.2,92,90,5.82
