City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
229,Vila Velha,BR,-20.33,-40.29,80.01,73,75,9.17,broken clouds
230,Garanhuns,BR,-8.89,-36.49,76.96,59,84,12.93,broken clouds
231,Pisco,PE,-13.7,-76.22,68.0,77,20,11.41,few clouds
232,Mahebourg,MU,-20.41,57.7,73.4,73,75,6.93,broken clouds
233,Baykit,RU,61.67,96.37,-1.03,87,26,5.3,scattered clouds
234,Nuuk,GL,64.18,-51.72,23.0,62,75,13.87,shower rain
235,Jian,CN,27.12,114.98,61.16,68,0,3.56,light rain
236,Jiazi,CN,22.88,116.07,67.44,80,0,8.19,clear sky
237,Warmbad,NA,-28.45,18.73,62.31,61,3,16.46,clear sky
238,Ambanja,MG,-13.68,48.45,77.18,82,70,1.74,light rain
239,Manicore,BR,-5.81,-61.3,87.53,58,100,1.19,overcast clouds
240,Nicolas Bravo,MX,18.45,-88.92,78.8,94,90,6.15,overcast clouds
241,Yarmouth,US,41.71,-70.23,64.99,82,1,13.87,clear sky
242,Dwarka,IN,22.24,68.97,79.92,60,0,8.9,clear sky
243,Senanga,ZM,-16.12,23.27,75.25,55,100,3.15,overcast clouds
244,Cherskiy,RU,68.75,161.3,24.31,93,100,18.41,overcast clouds
245,Podporozhye,RU,60.91,34.17,41.79,75,49,10.4,scattered clouds
246,Ahipara,NZ,-35.17,173.17,65.08,91,60,6.22,broken clouds
247,Lagoa,PT,39.05,-27.98,60.66,68,5,19.89,clear sky
248,The Valley,AI,18.22,-63.06,82.4,74,40,14.99,scattered clouds
249,Abha,SA,18.22,42.51,60.8,87,3,0.56,clear sky
250,Carmen,MX,18.63,-91.83,78.8,88,90,17.22,mist
251,Ponta Pora,BR,-22.54,-55.73,87.8,23,0,9.17,clear sky
252,Deputatskiy,RU,69.3,139.9,-9.15,92,98,1.39,overcast clouds
253,Solnechnyy,RU,50.72,136.63,21.63,83,14,4.9,few clouds
254,Lorengau,PG,-2.02,147.27,79.32,78,100,6.29,overcast clouds
255,Okhotsk,RU,59.38,143.3,6.53,89,91,17.83,overcast clouds
256,Fountain Hills,US,33.61,-111.72,96.8,11,1,12.75,clear sky
257,Pangnirtung,CA,66.15,-65.71,10.4,51,90,9.17,overcast clouds
258,Asau,RO,46.43,26.4,46.0,85,84,1.66,broken clouds
259,Champerico,GT,14.3,-91.92,82.4,83,75,4.7,light intensity drizzle
260,Shingu,JP,33.73,135.98,52.3,57,48,5.59,scattered clouds
261,Benghazi,LY,32.12,20.07,70.2,75,25,14.12,scattered clouds
262,Kamina,CD,-8.74,24.99,68.56,81,100,3.33,overcast clouds
263,Eureka,US,40.8,-124.16,70.0,82,40,3.36,scattered clouds
264,Sandwick,GB,60.0,-1.25,51.8,87,75,26.4,broken clouds
265,Hobart,AU,-42.88,147.33,54.0,58,40,8.05,scattered clouds
266,Basco,PH,20.45,121.97,79.12,90,100,44.49,heavy intensity rain
267,Fairbanks,US,64.84,-147.72,-0.99,76,75,1.12,broken clouds
268,Taltal,CL,-25.4,-70.48,66.2,53,22,7.58,few clouds
269,Avera,US,33.19,-82.53,77.0,44,40,6.93,scattered clouds
270,Moscow,RU,55.75,37.62,43.0,81,75,11.18,broken clouds
271,Birao,CF,10.28,22.79,78.82,35,95,4.43,overcast clouds
272,Gamba,GA,-2.65,10.0,76.84,88,100,1.72,overcast clouds
273,San Jeronimo,PE,-11.95,-75.28,65.35,40,16,10.09,light rain
274,Zhigansk,RU,66.77,123.37,-4.83,91,97,6.22,overcast clouds
275,Itoman,JP,26.12,127.67,78.8,94,75,13.87,light intensity shower rain
276,Lasa,IT,46.62,10.7,48.0,93,5,9.17,clear sky
277,Ronne,DK,55.1,14.71,53.6,100,93,27.51,overcast clouds
278,Tessalit,ML,20.2,1.01,79.88,16,0,8.52,clear sky
279,Ilulissat,GL,69.22,-51.1,17.6,67,75,14.99,broken clouds
280,Kazachinskoye,RU,57.7,93.28,22.62,95,100,12.53,overcast clouds
281,Port-Gentil,GA,-0.72,8.78,80.6,88,20,10.29,few clouds
282,Dukat,RU,62.55,155.55,-18.06,86,100,5.61,overcast clouds
283,Poum,NC,-20.23,164.02,76.62,80,4,7.07,clear sky
284,Bonthe,SL,7.53,-12.51,80.62,78,17,4.68,few clouds
285,Agustin Codazzi,CO,10.03,-73.24,83.37,73,70,3.53,light rain
286,San Jose,US,37.34,-121.89,79.0,44,5,4.7,clear sky
287,Umm Kaddadah,SD,13.6,26.69,79.02,20,44,16.78,scattered clouds
288,Lyuban,BY,52.8,28.0,44.67,75,99,13.27,overcast clouds
289,Camopi,GF,3.17,-52.32,77.04,93,100,5.3,moderate rain
290,Haines Junction,CA,60.75,-137.51,8.6,55,0,3.36,clear sky
291,Altay,CN,47.87,88.12,22.15,88,0,2.35,clear sky
292,Naze,JP,28.37,129.48,75.2,78,90,13.87,overcast clouds
293,Airai,TL,-8.93,125.41,61.5,74,14,1.5,few clouds
294,Qaqortoq,GL,60.72,-46.03,19.4,41,20,2.24,few clouds
295,Kamenka,RU,51.32,42.77,41.0,93,98,6.24,overcast clouds
296,Bathsheba,BB,13.22,-59.52,86.0,70,40,19.46,scattered clouds
297,Vostok,RU,46.49,135.88,21.76,99,51,4.97,broken clouds
298,Nicoya,CR,10.15,-85.45,75.04,94,100,6.29,moderate rain
299,Iquique,CL,-20.22,-70.14,66.2,59,0,18.34,clear sky
300,Nemsova,SK,48.97,18.12,43.0,79,0,5.01,clear sky
301,Rodino,RU,52.5,80.25,31.57,97,13,6.93,few clouds
302,Namibe,AO,-15.2,12.15,70.79,64,0,7.07,clear sky
303,Kaitangata,NZ,-46.28,169.85,46.08,89,100,3.22,overcast clouds
304,Santa Rosa,PH,14.31,121.11,79.0,94,75,2.24,broken clouds
305,Ust-Tsilma,RU,65.44,52.15,38.61,92,100,9.46,overcast clouds
306,Isangel,VU,-19.55,169.27,79.68,75,0,5.06,clear sky
307,Lavrentiya,RU,65.58,-171.0,37.04,92,98,19.35,overcast clouds
308,Jinchang,CN,38.5,102.17,35.73,73,0,8.19,clear sky
309,Vilhena,BR,-12.74,-60.15,93.2,26,0,5.82,clear sky
310,Sao Joao Da Barra,BR,-21.64,-41.05,78.8,69,40,13.87,scattered clouds
311,Kruisfontein,ZA,-34.0,24.73,64.99,88,75,1.01,broken clouds
312,Angoche,MZ,-16.23,39.91,78.98,75,0,14.07,clear sky
313,Puerto Escondido,MX,15.85,-97.07,86.0,74,75,3.36,broken clouds
314,Elk City,US,35.41,-99.4,75.2,23,1,9.17,clear sky
315,Ponta Delgada,PT,37.73,-25.67,61.0,63,40,12.75,scattered clouds
316,Juneau,US,58.3,-134.42,26.6,68,20,8.05,few clouds
317,Novonikolayevskiy,RU,50.97,42.36,41.0,93,88,6.26,overcast clouds
318,Vigrestad,NO,58.57,5.7,50.0,99,100,5.01,overcast clouds
319,Mayumba,GA,-3.43,10.66,78.08,85,100,1.05,overcast clouds
320,Nouadhibou,MR,20.93,-17.03,68.0,88,6,13.87,clear sky
321,Chuchkovo,RU,54.27,41.45,43.72,73,100,12.73,overcast clouds
322,Batagay,RU,67.63,134.63,-25.46,85,75,1.41,broken clouds
